,id
1,15896822
2,4836957
3,13355982
4,13472704
5,17430865
6,16374418
7,17488553
8,12296555
9,14108797
10,16446105
11,735298
12,13712199
13,5344655
14,14912894
15,13857967
16,14541148
17,14296637
18,13844847
19,6222799
20,15421169
21,1765414
22,6290335
23,13577025
24,16716104
25,7283027
26,16185476
27,15926622
28,10085459
29,16048507
30,14527936
31,6179409
32,9020269
33,16868346
34,6745039
35,5483827
36,12250201
37,17235188
38,375799
39,10898495
40,10953690
41,7327883
42,14894399
43,14535520
44,1530163
45,16909573
46,13850199
47,16389763
48,16952526
49,7515814
50,14306960
51,1715697
52,4472617
53,14411906
54,9964915
55,10240132
56,6312587
57,9851854
58,15095092
59,16668404
60,12081174
61,5902097
62,11289582
63,5135737
64,13131313
65,6840639
66,2499857
67,11150682
68,15230812
69,1197908
70,6620809
71,17528796
72,13384032
73,5796403
74,17434317
75,14398783
76,14976692
77,3292514
78,14171678
79,13894873
80,15351417
81,12105029
82,5536091
83,10794498
84,5290274
85,13417554
86,16170253
87,13268203
88,11698673
89,17503711
90,9339731
91,5800803
92,3798279
93,13666503
94,15764695
95,15232397
96,4363188
97,4419140
98,16040997
99,10264701
100,8167611
101,13672765
102,16819140
103,4501112
104,3059848
105,13021521
106,13268400
107,16021029
108,16167755
109,6995759
110,6340404
111,3981658
112,9225662
113,2284438
114,17455681
115,5429009
116,7812336
117,1262205
118,13083241
119,11514072
120,9417632
121,6392890
122,13612722
123,637508
124,15449102
125,5356912
126,11073476
127,7730826
128,17275703
129,3263103
130,1953238
131,4320006
132,8388331
133,6945721
134,11009717
135,16645509
136,17322957
137,9696223
138,3603952
139,9564342
140,782346
141,15330979
142,6443494
143,13062515
144,9968347
145,13885996
146,7000404
147,14145769
148,12967298
149,11653764
150,7458169
151,6407792
152,3636319
153,17024399
154,14181000
155,5745424
156,2336771
157,11665612
158,3123162
159,14348532
160,13190645
161,14393265
162,782322
163,13476000
164,15544357
165,11114805
166,8882332
167,4036141
168,17042402
169,15171787
170,15172609
171,13888104
172,3766472
173,14914183
174,5498948
175,9922797
176,617242
177,16082803
178,4023781
179,12280058
180,2580200
181,8949661
182,9525571
183,4019014
184,5460485
185,12144478
186,661917
187,15158420
188,14895968
189,7031432
190,5589592
